,Area,Borough,Latitude,Longitude
0,Abbey Wood,Bexley,51.4910602,0.1212157
1,Acton,Ealing,51.5081402,-0.2732607
2,Aldgate,City,51.5142477,-0.0757186
3,Aldwych,Westminster,51.513103,-0.1149205
4,Anerley,Bromley,51.4075993,-0.0619394
5,Angel,Islington,51.5319458,-0.1061056
6,Archway,Islington,51.5654371,-0.1349977
7,Arnos Grove,Enfield,51.6164024,-0.1332873
8,Balham,Wandsworth,51.4456449,-0.1503643
9,Bankside,Southwark,51.508302,-0.0962967
10,Barbican,City,51.5201501,-0.0986832
11,Barnes,Richmond upon Thames,51.4718962,-0.2387441
12,Barnsbury,Islington,51.5389351,-0.114735
13,Battersea,Wandsworth,51.4707933,-0.172214
14,Bayswater,Westminster,51.5122764,-0.1883854
15,Bedford Park,Ealing,51.498020100000005,-0.25564718577152973
16,Belgravia,Westminster,51.4982128,-0.1534998
17,Bellingham,Lewisham,51.4329913,-0.0193662
18,Belsize Park,Camden,51.5473926,-0.1683005
19,Bermondsey,Southwark,51.4977004,-0.0643453
20,Bethnal Green,Tower Hamlets,51.5303456,-0.0561633
21,Blackfriars,City,51.5115854,-0.1037671
22,Blackheath,Lewisham,51.4663175,0.0085624
23,Blackheath Royal Standard,Greenwich,51.4777351,0.0204897
24,Blackwall,Tower Hamlets,51.5065004,-0.0064024
25,Bloomsbury,Camden,51.523126,-0.1260664
26,Bounds Green,Haringey,51.607376,-0.1249047
27,Bow,Tower Hamlets,51.5283085,-0.0194816
28,Bowes Park,Haringey,51.6071861,-0.1204848
29,Brent Cross,Barnet,51.5767595,-0.2183801
30,Brent Park,Brent,51.537126,-0.2786261
31,Brixton,Lambeth,51.4568044,-0.1167959
32,Brockley,Lewisham,51.4578328,-0.0360868
33,Bromley ,Tower Hamlets,51.5266309,-0.0172319
34,Brondesbury,Brent,51.5450493,-0.2025961
35,Brunswick Park,Barnet,51.6262191,-0.1481899
36,"Burroughs, The",Barnet,51.5863721,-0.2303106
37,Camberwell,Southwark,51.4745706,-0.0925416
38,Cambridge Heath,Tower Hamlets,51.5319544,-0.0574215
39,Camden Town,Camden,51.5423045,-0.1395604
40,Canary Wharf,Tower Hamlets,51.50562,-0.0257169
41,Canning Town,Newham,51.5139887,0.0082987
42,Canonbury,Islington,51.5430358,-0.0954008
43,Castelnau,Richmond upon Thames,51.4874287,-0.2312276
44,Catford,Lewisham,51.4453215,-0.0197534
45,Chalk Farm,Camden,51.5441141,-0.1534811
46,Charing Cross,Westminster,51.5074975,-0.1236888
47,Charlton,Greenwich,51.4826053,0.0365359
48,Chelsea,Kensington and Chelsea,51.4875417,-0.1682205
49,Childs Hill,Barnet,51.5629822,-0.1972494
50,Chinatown,Westminster,51.511680299999995,-0.1304959294095688
51,Chinbrook,Lewisham,51.4294489,0.0330024
52,Chingford,Waltham Forest,51.6325345,0.009471
53,Chiswick,Hounslow,51.4923137,-0.263818
54,Church End,Brent,51.576985,-0.2189016
55,Church End,Barnet,51.601117,-0.1918901
56,Clapham,Lambeth,51.4622924,-0.1388561
57,Clerkenwell,Islington,51.5237268,-0.1055555
58,Colindale,Barnet,51.5954091,-0.2499296
59,Colliers Wood,Merton,51.4182747,-0.1778626
60,Colney Hatch,Barnet,51.6025172,-0.1480126
61,Covent Garden,Westminster,51.512873600000006,-0.12254367918576929
62,Cricklewood,Barnet,51.5566986,-0.2157507
63,Crofton Park,Lewisham,51.4552107,-0.0366376
64,Crossness,Bexley,51.501917649999996,0.1514107338698154
65,Crouch End,Haringey,51.5787402,-0.1235992
66,Crystal Palace,Bromley,51.4193664,-0.0711328
67,Cubitt Town,Tower Hamlets,51.4936677,-0.0082433
68,Dalston,Hackney,51.5434023,-0.0672286
69,Denmark Hill,Southwark,51.468043,-0.0896031
70,Deptford,Lewisham,51.4758453,-0.0215164
71,Dollis Hill,Brent,51.5519625,-0.2390214
72,Dulwich,Southwark,51.4418786,-0.0843244
73,Ealing,Ealing,51.5126553,-0.3051952
74,Earls Court,Kensington and Chelsea,51.4916123,-0.193903
75,Earlsfield,Wandsworth,51.4464482,-0.1893941
76,East Dulwich,Southwark,51.4615604,-0.0803888
77,East Finchley,Barnet,51.5871881,-0.1648137
78,East Ham,Newham,51.5394005,0.0526042
79,East Sheen,Richmond upon Thames,51.4623706,-0.267094
80,Edmonton,Enfield,51.6203392,-0.0659791
81,Elephant and Castle,Southwark,51.4948884,-0.1005731
82,Eltham,Greenwich,51.4505687,0.0541253
