,Area,Area Latitude,Area Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Abbey Wood,51.4910602,0.1212157,Sainsbury's,51.492824108986454,0.12072390863674594,Supermarket
1,Abbey Wood,51.4910602,0.1212157,Abbey Wood Railway Station (ABW),51.490825465175135,0.12343164457269773,Train Station
2,Abbey Wood,51.4910602,0.1212157,The Abbey Arms,51.49069256670702,0.12118225526818854,Pub
3,Abbey Wood,51.4910602,0.1212157,Platform 1,51.491023,0.119491,Platform
4,Abbey Wood,51.4910602,0.1212157,Costcutter,51.49128736668943,0.12093785504774347,Convenience Store
5,Abbey Wood,51.4910602,0.1212157,Bean @ Work,51.491172,0.120649,Coffee Shop
6,Acton,51.5081402,-0.2732607,London Star Hotel,51.50962416586384,-0.27245615782550625,Hotel
7,Acton,51.5081402,-0.2732607,Dragonfly Brewery at George & Dragon,51.507378230457675,-0.27170195787211743,Brewery
8,Acton,51.5081402,-0.2732607,The Aeronaut,51.508376110041894,-0.27521591740071266,Pub
9,Acton,51.5081402,-0.2732607,Amigo's Peri Peri,51.50839561577133,-0.27456148145523696,Fast Food Restaurant
10,Acton,51.5081402,-0.2732607,The Talbot,51.506527483853986,-0.2735853453294046,Pub
11,Acton,51.5081402,-0.2732607,Subway,51.50750859294472,-0.27178064192537477,Sandwich Place
12,Acton,51.5081402,-0.2732607,The Red Lion & Pineapple (Wetherspoon),51.508194468849005,-0.27639996629400126,Pub
13,Acton,51.5081402,-0.2732607,The Chatsworth,51.508372830949625,-0.27645992245896583,Cocktail Bar
14,Acton,51.5081402,-0.2732607,Babylon Pizza,51.50839593681459,-0.2747959415970138,Pizza Place
15,Acton,51.5081402,-0.2732607,Ming's,51.5074561,-0.2722601,Chinese Restaurant
16,Acton,51.5081402,-0.2732607,King's Head Hotel & Bar,51.50773,-0.27286986,Hotel
17,Acton,51.5081402,-0.2732607,Frank's Cafe,51.508083,-0.2703,Café
18,Aldgate,51.5142477,-0.0757186,Benk + Bo,51.515731,-0.075875,Bakery
19,Aldgate,51.5142477,-0.0757186,Hotel Indigo,51.5127396,-0.0759204,Hotel
20,Aldgate,51.5142477,-0.0757186,Dorsett City London,51.514035933296014,-0.07581156452943104,Hotel
21,Aldgate,51.5142477,-0.0757186,1n1 Fashion Pizza,51.516037,-0.075865276,Pizza Place
22,Aldgate,51.5142477,-0.0757186,Hotel Motel One London-Tower Hill,51.51263523122936,-0.07551347682886426,Hotel
23,Aldgate,51.5142477,-0.0757186,Bife,51.5157,-0.0754378,Argentinian Restaurant
24,Aldgate,51.5142477,-0.0757186,The Association,51.513732512603596,-0.0791316925995283,Coffee Shop
25,Aldgate,51.5142477,-0.0757186,Mattarello,51.51551833497089,-0.07543409709871418,Italian Restaurant
26,Aldgate,51.5142477,-0.0757186,The Japanese Canteen,51.513775,-0.079079,Japanese Restaurant
27,Aldgate,51.5142477,-0.0757186,Fazenda,51.516169,-0.077414,Coffee Shop
